id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRPZVkmVcu,Sri Mlyn,1 month ago,1557717295472,Aldy Prisandy semoga bpk prabowo sandi menang atas ijin dan ridho Alloh SWT serta doa para kekasih Alloh SWT....kecurangan yg masif Ingsya'Alloh bakal di tumbangkn sama Alloh SWT ...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRPgvTKUO8,Sri Mlyn,1 month ago,1557717295474,Dud Ka Dud si mata najwa ini kan condong ke 01 brow ..gk usah heran...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRQ9TIC9nB,Sri Mlyn,1 month ago,1557717295475,Santo Teguh klihtn siapa yg brengsek nanti brow di pengadilan Alloh SWT....,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRQp8R3JB_,Sri Mlyn,1 month ago,1557717295477,Santo Teguh tukang fitnah itu dirimu brow...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRR7eq7NTm,Sis Woyo,1 month ago,1557717295478,Najwa Shihab . tks najwa sihab ttp presenter hebat,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRU8HC_o1I,Nur Wanto,1 month ago,1557717295480,Tetep cantik mb najwa,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRVcMCIa-C,YudiYudi YudiYudi,1 month ago,1557717295481,Mbak najwa manis dan luwes....,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRXv6wDrPA,faiqotul alamiyah,1 month ago,1557717295483,Tlg lah... Narasumber pak amin Rais & pak mahfud md,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRdb4CFpIn,Ega Maulana,1 month ago,1557717295484,"@Sri Mlyn mb Nana awas in akun arif wAyono,,yg pnya kontrakan d akherat",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uRoxWV6_HA,Candra Adi winata,1 month ago,1557717295486,Mbak Najwa... Orang2  kayak anak kecil ternyata saling beradu argumen... Lucu liat.e,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uS0sZ43KTK,Hilal Nurohim,1 month ago,1557717295487,yg dislike para penduduk 02 #amPAS,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uSY4thysAt,Zhalfa Azalia Zahra,1 month ago,1557717295489,"Saya dulu suka najwa shihab karena menurut saya dia objektif, eh makin kesini semakin subjektif,  keliatan anti prabowo.",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uS_uMML7MM,Ellyta Putry,1 month ago,1557717295490,"waaah... ini jadi 
PRESIDEN INDONESIA vs PRESIDEN LUTUNG KAMBING dong mba nana... 
😕😕😏😏😏🙄🙄😑😑😑",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uSgHNgYdLK,Wd 8,1 month ago,1557717295492,Mata mbak Najhwa itu lo tajam kali ya? Kayak samurai rol tombol 5. Haaaaaaa,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uSu1ttAuAq,aiz bin ahmed,1 month ago,1557717295493,nanyak buktinya mna lg... kyra2 dalam prahu uuga si kacamata donggu ni...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uTK2viY50j,Rian Cetta,1 month ago,1557717295494,Cape' ya mba?..,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uTaCuOG5qV,Atmadja Munir,1 month ago,1557717295496,"kak Najwa Shihab .. salam ya Buat Bang Adrian.. dari Saya Alan di Fakfak - Papua Barat.  

bang adrian sudah menjadi inspirasi buat saya dari mahasiswa sampai saat ini.  salam ya buat bang adrian",1
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uUy5ENigFd,Nuraeny Amy,1 month ago,1557717295497,Mbak NAZWA grup nya wowo terlalu😂😂😂,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uV6ndCjqbH,Service Traliskanopi,1 month ago,1557717296128,Rasain lu najwa wkwkwkwkw,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uVCz7STyHD,aiu agustine,1 month ago,1557717296130,Pak prabowo menang di negara sanhok,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uVaR5mFJ4i,bowo prasetyo,1 month ago,1557717296131,"politik=sepak bola
sepak bola+politik=fair play=ADIL
that's A good job
I A great",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uVn9lX3HwG,Arya Untung,1 month ago,1557717296133,"Berpendidikan tinggi namun bicara dimedia hanya mengandalkan gengsi..
mengaku ahli tapi ternyata tanpa substansi...
Merasa paling pandai tapi ternyata kelakuan seperti keledai...
Merasa paling benar tapi bicara tanpa nalar.. 
Mengatasnamakan rakyat namun ternyata menjilat.. 
Mata terbuka tapi berlagak buta.. 
Katanya tidak ingin gaduh tapi ternyata tindakannya grusah-grusuh..
Bicara demokrasi tapi tiap hari hanya provokasi..",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uW1bLNRt6S,Alena dea dea,1 month ago,1557717296134,"Najwa Shihab mbk najwa jadi kayak wasit,, hehehe maaf",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uXYdydyWwg,syaila akbar,1 month ago,1557717296135,@Waryono Iyo marah niye wkwkkwkwkwkw codot codot pala kebalik,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uXYqPUiaLS,syaila akbar,1 month ago,1557717296136,@Hendro Prasetio ..........righttttttttt,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uXmnBI7VUo,Ardi Silitonga,1 month ago,1557717296138,Gasspoll Bosque 😎😎😎,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uY6mqRDLfL,nela diana swabra,1 month ago,1557717296139,Mantap Mata Najwa👍🏼❤,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uZUSk2ZPHf,Agil Semar,1 month ago,1557717296140,"Mbak nana klo orang tinggi(cp) ngomong ""kalian mau diperlakukan kayak kambing apa terhormat"", itu boleh ya???
Dan aku sbgai rakyat klo ngomong "" kami tidak mau dipimpin oleh kerbau"".itu boleh apa tidak???",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8u_ANKBelGV,Mr Zeb,1 month ago,1557717296142,"Loe gak fair nana, gak berani nayangin video bukti kecurangan, kok yg di bahas pidato prabowo doang, padahal temanya kecurangan, pidato prabowo itu bentuk reaksi kecuragan, jd host tuh netral dong specific datanya,jgn orderan. Kebaca loe",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ubWSUIq3Sj,Santos o Riang,1 month ago,1557717296143,Najwa Shihab saya suka Gaya  ngomong adian napitupulu  bermakna dan bermutu..berkelas dan rasional,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uc4oPD2NkY,Rahman Baja,1 month ago,1557717296145,Sabar mbak ini ujian,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ucsu18npKf,gerry tian,1 month ago,1557717296146,"Mba.. Request donk besok2 jgn bawa dari planet 02, bikin riweuh.
Aq pengin tenang adem ayem. Hari tenang. 
Makasih mba Najwa yg cantik",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ufR7ctNhmg,pristi ajaa,1 month ago,1557717296148,siipp kak nana..,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ufufu788BJ,Mg Fh,1 month ago,1557717296149,Wowo mungkin kamu yg jadi kambing..kamu kan prabowo iblis dan kambing dan setan...yg penting jokowi jadi presiden selama lama nya..salam dari arab saudi..aku doain prabowo jadi capres seumur hidup....enggak pantas jadi presiden..dia pantas jadi tukang ngurusin kuda aja...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ug6fTJXpyT,Sasa 123,1 month ago,1557717296150,"Najwa Shihab ,,di polling saja dr komentar rakyat,,byk mana yg milih presiden,biar jgn ngotot Prabowo ngaku ngaku plesiden,,kasihan bgt.Presiden asli Pak Joko Widodo.",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ugmEvKbTR_,suhron shadow,1 month ago,1557717296152,"Kmarin mantan kepala BIN bilang ""WNI keturunan arab yg jadi tokoh jangan suka profokasi""
Najwa shihab kan jg wni keturunan arab, ,
Jangan, ,jangan, ,😄😄😄😄",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ui6Rli61_2,Wawan Aja,1 month ago,1557717296153,Like like like ..... #najwa,0
