replies.id	replies.user	replies.commentText
UgxqYKcjhDCu9Hr1lF54AaABAg.8uRQof0J1HL8uTTSF2jwRh	Fansboy Hateboy	Selamat jokowiii anda dan antek2nya pun maling teriak maling gk pernah ngaca kalo pernah memprovokasi rakyat hahahah cebonk maling triak maling
UgxqYKcjhDCu9Hr1lF54AaABAg.8uRQof0J1HL8uTjXvoRSdi	Daffa Haffiz	@Gita Gita kalau mau lapor paket data mba jangan pake hoax
Ugzgl59CiwvssaORZCl4AaABAg.8uRD0D5goXq8uS8KFWMDQi	Dio Nando	"Cucoooo..
Harusnya dia pelakon stand up komedi.."
UgwXshx_CJ4c47J7ceZ4AaABAg.8uQkNQwd0ph8uR0urKbnT0	Endang Lestari	@Muhammad Shiddiq iya unggul 62% tp ngitung nya diem diem bae ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…
UgynVGbH35U4jM2wP4B4AaABAg.8uQQBSKu57g8uQaqrjx5qB	Faisal MaTs	Ga sopan. Meski dia begitu, itu adalah hasil didikan orang tuanya. Anda sama saja mengatai orang tua dia.
UgwQgaJQI5TApOMJRUt4AaABAg.8uQ9BctS2EJ8uQMHLiPu0v	Bayu Setyawan	@pegasus X halu nih ye :v presiden Antartika ya?
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqJ9lId-M	Hafandi Saputra	Dalam ijtima ulama 3 .. Mendesak kpu untuk mendiskualifikasi paslon 01 wkwkwkwk
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqOKGk7ak	Efran __07	"Tonton politik sampai tuntas mas, KPU sendiri mengakui bahwa kecurangan itu sudah hal biasa ..

Netral ae rek
2019 ganti pola pikir ðŸ˜Š"
UgxqB5lziLV3mt_viTF4AaABAg.8uRrMIICroe8uTjx8513RR	Faishal Zain	@will sastro masnya matanya ketutup yaa, coba searching berita 2014 ada yg meninggal kelelahan nggak
UgxqYKcjhDCu9Hr1lF54AaABAg.8uRQof0J1HL8uTTU5v2q-B	Suka Ngiler	Rakyat udahpinter siapa yang gila jabatan .. ASN sampe pengaman disuruh curang .. malu kali woy mau nambah periode segala kecurangan dilakukan.. semoga musnah rezim ini
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQc281LRaV	like i care	Wkkwkw jijik gw ama. 02.slama n gw golput. Tp kl pilpres diulang gw coblos t jokowi.jengkel gw ama kampret
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQJq3V6mOb	Aji Prasetyo	@Nyong Rika jdi presiden lo aja
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQMSv1dj76	Della Aryanti	@Zack Zulkarnaen yg pentg jokowi maju  lanjutkan dr pd clon presidenmu pelawak ,dagelan, raja hoax, haus akan kekuasaan hhhhh....
UgyksYEfBhyqpvZhoZx4AaABAg.8uPd12SF3Fi8uPh_fwSRAw	Bani KampretSontoloyo gendurowo Jualan obat kuat	Kampret makin halu dan kejang kejang efek nya RSJ akan dipenuhi kaum kampret yg stressðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uPaPorpBkz	Astina josss and siiip mbak,mas Dasmin	Jokowi persiden  is  the best
UgxKWJ5esADJLDdKdBx4AaABAg.8uTodfi437a8uWzrEAvLzw	Asdf Sdfg	Periadi bungkam gimana? rocky itu vicky prasetyo versi 2.0. cuma menggunakan istilah asing dan sulit supaya terlihat intelek tp zonk. klo lu bilang dibuat bungkam, berarti kgk ada bedanya elu ama cewek dangdut yg lulus smp aja kgk
UgzduULWKP-SvpyYOht4AaABAg.8uT_Mcwq5OM8uaP9Z-u7bZ	Hilarious Tamayo	Arbar Khairuddin gaada?? mata lo buta? yg Like sampe 400an org dan lu bilang gakada? hadeehh tidur masih kebalik aje cong wkwkwkkwðŸ¤£
UgzYZ9T2X8-XIQLbzfB4AaABAg.8uQHzVQqblN8uQZNDuT0E6	Adhi Nugroho	@Aswat Taufik karena kalau rocky itu orang psikologi sedangkan adian itu orang lapangan yang bicara fakta. Kalau secara rocky itu bicara secara analogi tetapi adian secara fakta. Mana ketemu pemikirannya kalau disandingkan
UgywmYw49fBiusiLtmR4AaABAg.8uQG-l2LM658uQSomWKxbH	Budiarto Y.N	@Ian fn cukup menyeramkan terutama bagi saya yang notabenenya minoritas.
UgyFq7qnyqIO1iJFpmd4AaABAg.8uPp6Z0hEaC8uPuHTXFFnn	Ivan Tanaka	adian sih, tapi pak arief lucu orangnya mirip cak lontong
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPpp6lwEs-	Aan Dahmani	Kelakuan mereka emang begitu
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqMsCNmAB	Read One	@Lucky DrawPhising bacot aja gk ada buktinya !
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqMxbWaZ6	Tokan Ryoowosh	@Lucky DrawPhising kontolmu!!!  Gk mungkin curang kampret
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPdra18NKV	Yuli 698	Gua rakyt bpk jokowi,,,
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPeHZ7847k	sinta putry	Yg komen bnyak rakyat jokowi loh termasuk sayaâ˜ï¸ðŸ‘
UgwLdihnYYy4okfImaV4AaABAg.8uPXFcRQw7D8uPa_OKJu3U	Jelly Tobing	Mirza Lumiere woii, selama presidennya optimis, gua yakin indonesia maju. Lah klo kayak wowo megang jabatan & bilang 2030 bubar, bakal bubar beneran.
UgzNK-ELc0RhNkQufvF4AaABAg.8uUCxDX5An28uaiIjocvHE	Dd Iswanto	Epick bro
UgzdzzaSwGuUgdfSZEh4AaABAg.8uToMF2Cuge8uUzMDaecJT	Ryo Hilmi	@Periadi Pindah ke arab aja sono
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uTkTlQHK0L	Fadli Ahmad	Sama abu janda mba
Ugw7BrhJnxdA_IlkqRN4AaABAg.8uSOhpM_VXN8uU4NzTGuSp	Yunita Liza	Gue malah mikirnya kalo pak Prabowo kepilih jadi presiden, kejadian 1998 bakalan terulang
UgxqB5lziLV3mt_viTF4AaABAg.8uRrMIICroe8uUyc2KJ22D	MMC Pro Shooting	@ezzz zz elu petugas kpps ndak? saya petugas kpps bro ketua kpps saya sampe sakit , setelah perhitungan, untung yg diambil kpps orang muda2 seperti saya. jdi jgn mikir gitu2 lah bro  paling tidak hargai usaha kami. OkeðŸ‘Œ
Ugxj0dJtvgLcOMKe-QR4AaABAg.8uRbDSudr8D8uTHGbW5FB0	lestari laurencia elizabeth sitohang	Iyaa ya.. baru sadar saya. Secara tdk langsung kubu 02 itu mengaku kalah, lalu sok2 bilang mereka menang utk menutupi malu atau ngobatin sedihnya ðŸ˜‚ðŸ˜‚ðŸ˜‹
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRO0tdCjTH	riska indah lavigne	Savage ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uSOP-YEpwh	adityaap	Kalau jokowi bukan orang baik GA MUNGKIN BELIAU MENJADI ORANG PILIHAN ALLAH YANG DAPAT MASUK KEDALAM KABAH. KALAU ORANG JAHAT MENURUT CERITA YG BEREDAR LIAT KABAH AJA GA DIIJININ WALAUPUN UDAH DI MAKKAH
UgzZx5_Nky8HY5tTw2l4AaABAg.8uQv_vZr9nU8uRbgU-D6bx	Andreas Steven	"saya heran nya begini, kalau pak jokowi dibilang pak presiden kan wajar itu emang ""masih"" presiden beliau..
nah kalau pak prabowo kan ""belom"" presiden beliau, andai nanti menang pun tidak etis lah mengumbar umbar jabatan ketika belum ada putusan resmi..
apalagi jika kalah nanti, apa ga malu itu ?"
UgyctUMx8iArD0l54rR4AaABAg.8uQXHs9AG4h8uR1Z4VUCTz	bang madun	11_12 dong sama fir'aun wkwkwkwk
UgyctUMx8iArD0l54rR4AaABAg.8uQXHs9AG4h8uR7oV62Klg	Andrew Mario	@Invia Instant jabatan apa yg dpertahakan firaun dengan halalkan sgala cara??  Raja..?? Sistem kerajaan itu monarchi absolut mbak bukan demokrasi.. jabatan itu gak akan kmana2. Jatuhnya pun ke keturunannya.. mulutnya di cebokin mbak..bauk tuh
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQb3QR5MXu	Nia IndriaS	baru sadar ya mba ? percuma mungkin kmaren mba nya udh milih 02 heheh
UgwQgaJQI5TApOMJRUt4AaABAg.8uQ9BctS2EJ8uQMY5Hc2-u	RizkiRitonga	@pegasus X presiden kertanegara?
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQK_bYuAB8	Addriel Federico	Oyee pak jokowi mantap
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQMEZZvOAE	Midah Midah	@Sertu Ramdan zr sendiri nya plonga plongo kok ngatain orang lain punya kaca besar gak di rumah
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQMQjobgCE	Midah Midah	@Zack Zulkarnaen nyatanya yg mimpin Indonesia sekarang siapa bro.... KamuðŸ˜´ðŸ˜´ðŸ˜´
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQMos2LvhB	Rini Widiastuti	"Udh pantas pak jokowi jadi presiden . yg ngga pantas prabowo.. karnah tdk bisa jadi presiden asli, klo pleciden abal abal, prabowo pantas,, itu pung pleciden abal abal dr pilihan/pendukung abal abal juga. 
Pakta jokowi pantas jadi presiden, 2014,trus 2019 insya allah lanjut lagi, ngga kayak pleciden bowo subiabal abal, bisanya cuma capres cawapres gagal trus. Hhhh"
UgyyFpyZyQQPrq74Nlh4AaABAg.8uPx2LjoBJb8uQ6jaxlJo0	PEOPLE dOWER	"padahal udah jelas april kemaren memang ada dua ekor thanos yg end game
thanos yg fiksi bikin kerusuhan pakai power stone
thanos yg nyata bikin kerusuhan dg people power
tapi..... thanos yg nyata sampai skrg masih gak terima dan akan bikin kerusuhan di 22 mei nanti ckckckckckck dungu"
Ugxpfnfp82M5Pqm4xL54AaABAg.8uPp35T5HB78uPw3tz-Md8	Nugroho Husein	Biasanya kalau orang biasa curang bilangnya slalu dicurangin
Ugzt9I0rGD0BKIkx3xJ4AaABAg.8uPn8ltYYsE8uPqMv6ops5	Annstarina Eka	Itu emng stategi dr kubu 02 buat mancing keributan.  Emng yg d harpkan ada perang kya d th 98. Emng otak2 licik smua kubu 02 bnyak propokator . Bagaimna cranya pingn mnjtuhkn pak JK. Tp tetplah orang pintr tau spa yg curang. Smpai berbagaicra d lakukan.
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPq_4AjyvW	Kang Yana	@Lucky DrawPhising sy berharap semua kecurangan terbongkar, kecurangan yg dilakukan pendukung 01 dan kecurangan yg dilakukan pendukung 02, krn ternyata kedua belah pihak mempunyai data dan fakta kecurangan masing2... Dan dibongkarnya yg penting sesuai konstistusi...
